model_id,snr_db,metric,n,mean,std,ci95_low,ci95_high,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026
M0,-14,accuracy,5,0.12663636363636363,0.011985700846983813,0.11175415040142347,0.1415185768713038,0.1431818181818182,0.11954545454545455,0.11363636363636363,0.12227272727272727,0.13454545454545455
M0,-14,macro_f1,5,0.0830309156417804,0.015251292468275097,0.064093934857847,0.10196789642571381,0.10409629066844138,0.07511787230158055,0.06358839901009554,0.08255338878593645,0.0897986274428481
M0,-14,balanced_accuracy,5,0.12663636363636363,0.011985700846983817,0.11175415040142346,0.1415185768713038,0.1431818181818182,0.11954545454545454,0.11363636363636363,0.12227272727272727,0.13454545454545455
M0,-14,prediction_concentration,5,0.7756363636363636,0.031318478689713165,0.736749336168835,0.8145233911038922,0.7545454545454545,0.7754545454545455,0.8277272727272728,0.7481818181818182,0.7722727272727272
M0,-14,normalized_prediction_entropy,5,0.4250581749031489,0.04578971089960894,0.368202739390946,0.4819136104153518,0.4518642290663912,0.43036651848158153,0.35069958870215834,0.47086389097631326,0.42149664728930025
M0,-14,gini,5,0.737421487603306,0.027459503187039134,0.7033260110873979,0.771516964119214,0.7318181818181819,0.7285123966942149,0.7722314049586778,0.7000000000000001,0.7545454545454546
M0,-14,hhi,5,0.6087590082644627,0.04783849064505401,0.5493596767020916,0.6681583398268338,0.5775367768595041,0.607119008264463,0.6887024793388431,0.5668161157024793,0.6036206611570247
M0,-14,dominant_predicted_class_ratio,5,0.7756363636363636,0.031318478689713165,0.736749336168835,0.8145233911038922,0.7545454545454545,0.7754545454545455,0.8277272727272728,0.7481818181818182,0.7722727272727272
M0,-12,accuracy,5,0.16436363636363632,0.009920135629571348,0.15204616109509914,0.1766811116321735,0.17636363636363636,0.15045454545454545,0.1590909090909091,0.1668181818181818,0.1690909090909091
M0,-12,macro_f1,5,0.1304314838720748,0.009499155596729956,0.11863672435427941,0.14222624338987017,0.13829550772887556,0.11887664309276165,0.12354181561463139,0.1412956725296371,0.1301477803944683
M0,-12,balanced_accuracy,5,0.16436363636363632,0.009920135629571348,0.15204616109509914,0.1766811116321735,0.17636363636363636,0.15045454545454545,0.1590909090909091,0.1668181818181818,0.1690909090909091
M0,-12,prediction_concentration,5,0.6844545454545454,0.030375405993273562,0.6467384974018748,0.722170593507216,0.6654545454545454,0.6822727272727273,0.7354545454545455,0.6577272727272727,0.6813636363636364
M0,-12,normalized_prediction_entropy,5,0.5447371543845383,0.04386825486296988,0.4902675216571614,0.5992067871119152,0.5640512953811582,0.5533176677849704,0.4746611739036113,0.592760684993607,0.5388949498593447
M0,-12,gini,5,0.6682148760330578,0.04393129885619908,0.6136669638489852,0.7227627882171305,0.666694214876033,0.6517355371900827,0.7242148760330579,0.6068595041322314,0.6915702479338843
M0,-12,hhi,5,0.48192322314049585,0.040978449545626405,0.43104175763748215,0.5328046886435096,0.4582342975206611,0.4771177685950413,0.5508673553719009,0.444945867768595,0.478450826446281
M0,-12,dominant_predicted_class_ratio,5,0.6844545454545454,0.030375405993273562,0.6467384974018748,0.722170593507216,0.6654545454545454,0.6822727272727273,0.7354545454545455,0.6577272727272727,0.6813636363636364
M0,-10,accuracy,5,0.2625454545454545,0.013320586193142022,0.24600576223445994,0.2790851468564491,0.2840909090909091,0.2540909090909091,0.24954545454545454,0.2640909090909091,0.2609090909090909
