model_id,metric,n,mean,std,ci95_low,ci95_high,seed_2022,seed_2023,seed_2024,seed_2025,seed_2026
M3,balanced_accuracy,5,0.6679636363636363,0.002279229335463256,0.6651335993541417,0.6707936733731309,0.6659545454545455,0.6695,0.6652954545454546,0.6684545454545454,0.6706136363636364
M3,nll,5,0.8577929665378811,0.006548242623789366,0.8496622494204185,0.8659236836553437,0.8618356017153981,0.856013073433135,0.8618615607757824,0.8470308966559007,0.8622237001091889
M3,ece,5,0.019449342884233542,0.005522666803066033,0.012592046340791372,0.026306639427675714,0.025074805304847948,0.020038329140888166,0.016152877264381606,0.011871419092869807,0.02410928361818018
M4,overall_accuracy,5,0.6529818181818181,0.0018885802967282504,0.6506368360196536,0.6553268003439826,0.65225,0.6533181818181818,0.6553409090909091,0.65025,0.65375
M4,macro_f1,5,0.6540771010510902,0.0033060553127898244,0.6499720911931288,0.6581821109090515,0.6484641182701242,0.6562798094175878,0.6565926975215581,0.6550874929352011,0.6539613871109796
M4,balanced_accuracy,5,0.6529818181818181,0.0018885802967282394,0.6506368360196537,0.6553268003439825,0.65225,0.6533181818181818,0.6553409090909091,0.65025,0.6537499999999999
M4,nll,5,0.9246802957960293,0.00461042058213931,0.9189557025426093,0.9304048890494493,0.9313548936041397,0.9253294992512467,0.9239048250927123,0.9244070070027577,0.9184052540292897
M4,ece,5,0.016757192677302808,0.0030790324291370364,0.012934068960741467,0.02058031639386415,0.01612938689849692,0.020404392951843854,0.01568632097256205,0.01903719126824407,0.012528671295367132
M5,overall_accuracy,5,0.6675136363636364,0.0013264435454774983,0.6658666391675672,0.6691606335597056,0.6685227272727273,0.6680227272727273,0.6673863636363636,0.6683636363636364,0.6652727272727272
M5,macro_f1,5,0.665612206514594,0.003929623300066962,0.6607329347363982,0.6704914782927898,0.6627734687798231,0.6666119666085409,0.6703267416280906,0.6678040660676564,0.6605447894888586
M5,balanced_accuracy,5,0.6675136363636363,0.0013264435454774196,0.6658666391675672,0.6691606335597053,0.6685227272727272,0.6680227272727272,0.6673863636363636,0.6683636363636364,0.6652727272727273
M5,nll,5,0.8713223242175626,0.016026560254437938,0.8514227213345836,0.8912219271005416,0.8832808981443597,0.8555539063588133,0.8884959461431599,0.853426081225733,0.8758547892157464
M5,ece,5,0.02636188142232771,0.009149849159968559,0.015000843131399799,0.03772291971325562,0.03197980025056737,0.01386704391287273,0.03569219871485304,0.019790438011472226,0.030479926221873184
M6,overall_accuracy,5,0.6672727272727272,0.0013778614103441885,0.6655618863649886,0.6689835681804659,0.6680909090909091,0.6651363636363636,0.6672727272727272,0.6670681818181818,0.6687954545454545
M6,macro_f1,5,0.6635400590789191,0.0013839670168606952,0.6618216370593817,0.6652584810984565,0.6632370754634658,0.6659023236441346,0.6622883155227609,0.6633558873041232,0.6629166934601108
M6,balanced_accuracy,5,0.6672727272727272,0.0013778614103442193,0.6655618863649886,0.6689835681804659,0.6680909090909091,0.6651363636363636,0.6672727272727272,0.6670681818181818,0.6687954545454546
M6,nll,5,0.8647900238706644,0.008129011178455305,0.8546965233493805,0.8748835243919483,0.8640520217826657,0.8643453556447555,0.8560182346633421,0.8780464744873497,0.8614880327752086
M6,ece,5,0.024998802838686426,0.008860289024179796,0.013997300943682414,0.03600030473369044,0.027786191993715,0.024241606098120715,0.011213275108081096,0.03570043526413252,0.02605250572938279
M7,overall_accuracy,5,0.6583181818181819,0.0011925864315403686,0.656837390181392,0.6597989734549718,0.6569090909090909,0.6601590909090909,0.6582272727272728,0.6577954545454545,0.6585
M7,macro_f1,5,0.6581247024040209,0.0006114711333436246,0.6573654607118072,0.6588839440962345,0.6573564335904142,0.6588502908691958,0.6578334680111729,0.6586368446512815,0.6579464748980405
M7,balanced_accuracy,5,0.6583181818181818,0.0011925864315403421,0.6568373901813919,0.6597989734549717,0.656909090909091,0.6601590909090909,0.6582272727272727,0.6577954545454545,0.6585000000000001
M7,nll,5,0.9011790165213945,0.024701538709955794,0.8705080052050058,0.9318500278377833,0.8839769494623847,0.8922175253840559,0.9438215858657379,0.9003650412165258,0.8855139806782681
M7,ece,5,0.034586197990936395,0.013631995464848261,0.017659839998557324,0.051512555983315465,0.021672423220338646,0.03344845430759604,0.056969414708171066,0.034867155202826336,0.02597354251574991
